Razão Social,Nome Fantasia,CNPJ,Endereço,Número,Complemento,Bairro,Cidade,Estado,Cluster
MASTERCELL,NEUMARKT SHOPPING,,"R SETE DE SETEMBRO, 1213 - LOJA 126 - CEP: 89010-911 - CENTRO - BLUMENAU",,,,BLUMENAU,SC,Cluster C
RASTRECALL,NILÓPOLIS SHOPPING,,"RUA PROFESSOR ALFREDO GONÇALVES FUGUEIRA, 100 Q. 07 - CEP: 26525-060 - NILOPOLIS - RJ",,,,NILÓPOLIS,RJ,Cluster C
MASTERCELL,NORTE SHOPPING BLUMENAU,,"ROD BR 470, 3000- QUIOSQ28 - CEP 89065-800 BAIRRO SALTO NORTE",,,,BLUMENAU,SC,Cluster C
ALLIED,NORTE SHOPPING RIO DE JANEIRO,,"AV DOM HELDER CAMARA, 5.332 (LUC) - 2093 NORTE SHOPPING CEP: 20771-004 - CACHAMBI - RIO DE JANEIRO (RJ)",,,,RIO DE JANEIRO,RJ,Cluster A
B&F TELECOMUNICACOES,NORTH SHOPPING FORTALEZA LOJA 2,,"AV BEZERRA DE MENEZES,2450 LOJA 442/443",,,,FORTALEZA,CE,Cluster C
VOCE MOBILE COMERCIO,NORTH SHOPPING JOQUEI,,"AV. LINEU MACHADO, 419 COMPLEMENTO: LOJA 1031 E 1032 PISO L 1 BAIRRO: JOQUEI CLUBE MUNICÍPIO: FORTALEZA CEP: 60520-102",,,,FORTALEZA,CE,Cluster B
B&F TELECOMUNICACOES,NORTH SHOPPING MARACANAU,,"AV. SENADOR CARLOS JEREISSATI, N 100, CENTRO - MARACANAU - CE - QUIOSQUE 31.",,,,MARACANAU,CE,Cluster B
B&F TELECOMUNICACOES,NORTH SHOPPING QUIOSQUE,,"AV BEZERRA DE MENEZES, 2450 - Q1 13 - CEP: 60325-002 - SAO GERALDO FORTALEZA (CE)",,,,FORTALEZA,CE,Cluster C
B&F TELECOMUNICACOES,NORTH SHOPPING SOBRAL,,"AV. MONSENHOR ALOÍSIO PINTO, 300 (QUIOSQUE 05 - TERREO) - DOM EXPEDITO, SOBRAL - CE",,,,SOBRAL,CE,Cluster C
ARTE TELECOM,NOVO SHOPPING CENTER RIBEIRÃO PRETO,,"AVENIDA PRESIDENTE KENNEDY, 1500 - QUIOSQUE K30",,,,RIBEIRÃO PRETO,SP,Cluster C
NAGEM,OSASCO PLAZA SHOPPING,,"R TENENTE AVELAR PIRES DE AZEVEDO, 81 LOJA 158/9 OSASCO PLAZA SHOPING CEP: 06016-060 CENTRO OSASCO",,,,OSASCO,SP,Cluster C
AQUILON,PARK SHOPPING BARIGUI,,"RUA: PEDRO VIRIATO PARIGOT DE SOUSA, 600 - CEP 81200-100 - LOJA LUC 275 - MOSSUNGUE - CURITIBA (PR)",,,,CURITIBA,PR,Cluster A
MRF,PARK SHOPPING BRASILIA,,"ST DE AREAS ISOLADAS/SUDOESTE AREA, 6580 - LUC 283/284 - GUARA - BRASÍLIA (DF)CEP 71219-900",,,,BRASÍLIA,DF,Cluster A
ALLIED,PARK SHOPPING CAMPO GRANDE,,"EST DO MONTEIRO, 1200- LOJA 107 PISO L1- CAMPO GRANDE RIO DE JANEIRO",,,,RIO DE JANEIRO,RJ,Cluster B
ALLIED,PARKSHOPPING SÃO CAETANO,,"AL TERRACOTA, 545 - LOJAS USO COMERCIAL N 1.063",,,,SÃO CAETANO,SP,Cluster B
ARTE TELECOM,PARQUE DOM PEDRO SHOPPING,,"AV. GUILHERME CAMPOS, 500 - LOJA 264-265 - JD. SANTA GENEBRA CAMPINAS (SP) - CEP 13087-901",,,,CAMPINAS,SP,Cluster B
INFO STORE COMPUTADORES DA AMAZÔNIA,PARQUE SHOPPING BELEM,,"ROD. AUGUSTO MONTENEGRO, 4300 LOJA 1027/1028 1°PISO; PARQUE VERDE - BELÉM - PA",,,,BELÉM,PA,Cluster C
ALLIED,PARQUE SHOPPING MAIA,,"AVENIDA BARTOLOMEU DE CARLOS, 230, KSK 401. JD. FLOR DA MONTANHA - GUARULHOS - SP (CEP - 07097-420)",,,,GUARULHOS,SP,Cluster C
ATACADÃO DOS ELETRODOMÉSTICOS DO NORDESTE,PARTAGE SHOPPING MOSSORÓ,,"AV. JOÃO DA ESCOSSIA , Nº 1515, WEST SHOPPING MOSSORÓ, TÉRREO, BAIRRO: NOVA BETÂNIA CEP. 59067-330",,,,MOSSORO,RN,Cluster C
INFO STORE COMPUTADORES DA AMAZÔNIA,PARTAGE SHOPPING PARAUAPEBAS,,"ROD PA 275 KM 61,6 LOTE 01A, LOJA: 44/45 ; : PARTAGE SHOPPING ; PARAUAPEBAS - QUADRA S/N;",,,,PARAUAPEBAS,PA,Cluster C
RASTRECALL,PASSEIO SHOPPING,,"RUA VIUVA DANTAS, 100 LOJAS 101 E 103 - CEP. 23052-090 - CAMPO GRANDE RJ",,,,RIO DE JANEIRO,RJ,Cluster C
ATACADÃO DOS ELETRODOMÉSTICOS DO NORDESTE,PATIO ARAPIRACA GARDEN SHOPPING,,"R JOSE LEITE BEZERRA, S/N LOJA 264",,,,ARAPIRACA,AL,Cluster C
ALLIED,PATIO CIANE SHOPPING,,"AV AFONSO VERGUEIRO, 823 - QUIOSQUE 29",,,,SOROCABA,SP,Cluster C
ARTE TELECOM,PATIO LIMEIRA,,RUA CARLOS GOMES 1321 QUIOSQUE 64,,,,LIMEIRA,SP,Cluster C
B&F TELECOMUNICACOES,PATIO MIX TEIXEIRA DE FREITAS,,"AV. SÃO PAULO, Nº2575 LOJA 1075 SHOPPING PATIO MIX - BAIRRO VILA VERDE",,,,TEIXEIRA DE FREITAS,BA,Cluster C
ARTE TELECOM,POLO INDAIATUBA SHOPPING,,"AL FILTROS MANN, 670 LOJA: SUC 115;",,,,INDAIATUBA,SP,Cluster C
PRIMETEK,PORTAL SHOPPING,,AV ANHANGUERA NÚMERO 14.404 COMPLEMENTO QUADRA AREA LOTE 39 A/E LUC 290 CEP 74450-010 BAIRRO/DISTRITO CAPUAVA,,,,GOIANIA,GO,Cluster C
INFO STORE COMPUTADORES DA AMAZÔNIA,PORTO VELHO SHOPPING,,"AV RIO MADEIRA, 3288 - LOJA 230/231 2 PISO PORTO VELHO SHOPPING - CEP: 76820-408 - FLODOALDO PONTES PINTO - PORTO VELHO - RO",,,,PORTO VELHO,RO,Cluster B
MULTISOM,PRAÇA RIO GRANDE SHOPPING CENTER,,"RUA JOCKEY CLUBE,155 LOJA 46, SHOPPI BAIRRO VL SAO MIGUEL CEP 96212-730",,,,RIO GRANDE,RS,Cluster C
M.M.S. DO BRASIL,PRAIAMAR SHOPPING,,"R. ALEXANDRE MARTINS, N 80, LOJA 01, APARECIDA - SANTOS - SP / CEP 11025-200",,,,SANTOS,SP,Cluster C
ALLIED,PRUDENSHOP,,"AV MANOEL GOULART, 2400 - LOJAS USO COMERCIAL 1030 E 1031 - CEP: 19060-000 - PARQUE BELA VISTA -PRESIDENTE PRUDENTE (SP)",,,,PRESIDENTE PRUDENTE,SP,Cluster B
ARTE TELECOM,RIBEIRÃO SHOPPING,,"AV. CEL. FERNANDO FERREIRA LEITE, 1540 - SUBSETOR SUL 5 - LOJA 147",,,,RIBEIRÃO PRETO,SP,Cluster B
ALLIED,RIO PRETO SHOPPING,,"AVENIDA BRIGADEIRO FARIA LIMA, 6363, JARDIM MORUMBI, SÃO JOSÉ DO RIO PRETO/SP, CEP 15090-000 LOJA 257",,,,SÃO JOSÉ DO RIO PRETO,SP,Cluster B
VOCE MOBILE COMERCIO,RIVERSIDE,,"AV. ININGA, 1201 - JOCKEY CLUBE, TERESINA",,,,TERESINA,PI,Cluster C
MARTINELLO,RONDON PLAZA SHOPPING,,"AV ROTARY INTERNACIONAL, 1950 - EDIF RONDON PLAZA SHOPPINSALA LOJA 208/09-A - CEP 78735-219 -N PARQUE SAGRADA FAMILIA - RONDONOPOLIS - MT",,,,RONDONÓPOLIS,MT,Cluster C
MULTISOM,ROYAL PLAZA SHOPPING,,"AV NOSSA SENHORA DAS DORES, 305 - LOJA 360 - CEP: 97050-531 - NOSSA SENHORA DAS DORES - SANTA MARIA (RS)",,,,SANTA MARIA,RS,Cluster C
ESB TELEFONES,SALVADOR NORTE SHOPPING,,"ROD BA-526, 305 - SALVADOR NORTE SHOPPING LOJA 2004 2 PISO - CEP: 41510-000 - SAO CRISTOVAO - SALVADOR (BA)",,,,SALVADOR,BA,Cluster B
ESB TELEFONES,SALVADOR SHOPPING,,"AV. TANCREDO NEVES, 3133 - CAMINHO DAS ÁRVORE - LOJA 1084 - SALVADOR (BA) - CEP: 41820-021",,,,SALVADOR,BA,Cluster A
0,SAMSUNG - B&F - SHOPPING DA ILHA,,0,,,,0,0,Cluster A
RASTRECALL,SANTA CRUZ,,RUA FELIPE CARDOSO N. 540 Q07 - CEP 23515-000 - SANTA CRUZ - RJ,,,,RIO DE JANEIRO,RJ,Cluster C
ALLIED,SANTANA PARQUE SHOPPING,,"R CONSELHEIRO MOREIRA DE BARROS, 2780, QUIOSQ: Q220;",,,,SÃO PAULO,SP,Cluster C
NAGEM,SÃO BERNARDO PLAZA SHOPPING,,"AV. ROTARY, 624 -LOJA 2076B PISO L2 CEP: 09721-000 - SÃO BERNARDO DO CAMPO",,,,SÃO BERNARDO,SP,Cluster C
B&F TELECOMUNICACOES,SÃO GONÇALO SHOPPING,,"AVN SAO GONCALO,100 LJS 213/214 A PISO L2 S.G.SHOPPING BOA VISTA SÃO GONÇALO-",,,,SÃO GONÇALO,RJ,Cluster B
B&F TELECOMUNICACOES,SÃO LUIS SHOPPING,,"AV. PROFESSOR CARLOS CUNHA, 1.000 LOJA 204 LEE SÃO LUIS - MA CEP: 65076-907",,,,SÃO LUIS,MA,Cluster A
KADRI COMERCIO DE ELETRONICOS,SHOPPING 3 AMERICAS,,"AV BRASILIA, 146 - QP-02 1 PISO BLOCO B SHOPPING TRES AMERICAS - CEP: 78060-601 - JARDIM DAS AMERICAS - CUIABA (MT)",,,,CUIABA,MT,Cluster C
ALLIED,SHOPPING ABC,,"AV PEREIRA BARRETO, 42 - LOJA N278 2 288, CEP: 09190-210 VILA GILDA - SANTO ANDRÉ (SP)",,,,SANTO ANDRÉ,SP,Cluster B
